Unidades de saúde;Data;Quantidade de leitos UTI Adulto COVID;Disponíveis/Vagos UTI Adulto COVID;Ocupados UTI Adulto COVID;Bloqueados UTI Adulto COVID;Ocupação(%) de leitos UTI Adulto COVID;Quantidade de leitos UTI Adulto Não COVID;Disponíveis/Vagos UTI Adulto Não COVID;Ocupados UTI Adulto Não COVID;Bloqueados UTI Adulto Não COVID;Ocupação(%) de leitos UTI Adulto Não COVID
ANÁPOLIS/HEANA;20/06/2020;15;0;15;0;100,0;20;0;18;2;100,0
ANÁPOLIS/HEANA;21/06/2020;15;3;12;0;80,0;20;0;18;2;100,0
ANÁPOLIS/HEANA;22/06/2020;15;4;10;1;73,33;20;8;10;2;60,0
ANÁPOLIS/HEANA;23/06/2020;15;4;11;0;73,33;19;0;18;1;100,0
ANÁPOLIS/HEANA;24/06/2020;15;1;14;0;93,33;19;0;18;1;100,0
ANÁPOLIS/HEANA;25/06/2020;15;4;11;0;73,33;19;4;14;1;78,95
ANÁPOLIS/HEANA;26/06/2020;15;4;11;0;73,33;19;1;17;1;94,74
ANÁPOLIS/HEANA;27/06/2020;15;5;10;0;66,67;19;2;16;1;89,47
ANÁPOLIS/HEANA;28/06/2020;15;2;13;0;86,67;19;1;17;1;94,74
ANÁPOLIS/HEANA;29/06/2020;15;1;14;0;93,33;19;1;17;1;94,74
ANÁPOLIS/HEANA;30/06/2020;15;1;14;0;93,33;19;2;16;1;89,47
ANÁPOLIS/HEANA;01/07/2020;15;1;14;0;93,33;19;0;18;1;100,0
ANÁPOLIS/HEANA;02/07/2020;15;1;14;0;93,33;19;0;18;1;100,0
ANÁPOLIS/HEANA;03/07/2020;15;0;15;0;100,0;19;1;17;1;94,74
ANÁPOLIS/HEANA;04/07/2020;15;0;15;0;100,0;19;0;18;1;100,0
ANÁPOLIS/HEANA;05/07/2020;15;3;12;0;80,0;19;1;17;1;94,74
ANÁPOLIS/HEANA;06/07/2020;15;2;13;0;86,67;19;1;17;1;94,74
ANÁPOLIS/HEANA;07/07/2020;15;1;14;0;93,33;19;1;17;1;94,74
ANÁPOLIS/HEANA;08/07/2020;15;0;15;0;100,0;19;1;17;1;94,74
ANÁPOLIS/HEANA;09/07/2020;15;0;15;0;100,0;19;0;18;1;100,0
